prolificPID,recID,questionNumber,response,created_at
61254c5a6facc8ed023a64de,5,1,false,2023-06-08T12:23:45Z
61254c5a6facc8ed023a64de,5,2,4,2023-06-08T12:23:45Z
61254c5a6facc8ed023a64de,5,3,5,2023-06-08T12:23:45Z
61254c5a6facc8ed023a64de,5,4,2,2023-06-08T12:23:45Z
61254c5a6facc8ed023a64de,5,5,5,2023-06-08T12:23:45Z
61669e4582549043d66bdd78,0,1,true,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,0,2,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,0,3,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,0,4,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,0,5,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,1,1,true,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,1,2,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,1,3,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,1,4,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,1,5,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,2,1,true,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,2,2,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,2,3,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,2,4,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,2,5,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,3,1,false,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,3,2,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,3,3,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,3,4,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,3,5,5,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,4,1,true,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,4,2,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,4,3,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,4,4,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,4,5,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,5,1,true,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,5,2,4,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,5,3,2,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,5,4,2,2023-06-08T12:23:50Z
61669e4582549043d66bdd78,5,5,2,2023-06-08T12:23:50Z
6120b4fca2fedeb88787374c,0,1,false,2023-06-08T12:28:23Z
6120b4fca2fedeb88787374c,0,2,5,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,0,3,3,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,0,4,4,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,0,5,5,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,1,1,false,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,1,2,3,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,1,3,3,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,1,4,3,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,1,5,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,2,1,false,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,2,2,3,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,2,3,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,2,4,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,2,5,1,2023-06-08T12:28:31Z
